Date,Year,Quarter,Month,MonthName,MonthYear,Day,Weekday,IsWeekend
2011-12-25,2011,2011Q4,12,December,Dec 2011,25,Sunday,True
2011-12-26,2011,2011Q4,12,December,Dec 2011,26,Monday,False
2011-12-27,2011,2011Q4,12,December,Dec 2011,27,Tuesday,False
2011-12-28,2011,2011Q4,12,December,Dec 2011,28,Wednesday,False
2011-12-29,2011,2011Q4,12,December,Dec 2011,29,Thursday,False
2011-12-30,2011,2011Q4,12,December,Dec 2011,30,Friday,False
2011-12-31,2011,2011Q4,12,December,Dec 2011,31,Saturday,True
2012-01-01,2012,2012Q1,1,January,Jan 2012,1,Sunday,True
2012-01-02,2012,2012Q1,1,January,Jan 2012,2,Monday,False
2012-01-03,2012,2012Q1,1,January,Jan 2012,3,Tuesday,False
2012-01-04,2012,2012Q1,1,January,Jan 2012,4,Wednesday,False
2012-01-05,2012,2012Q1,1,January,Jan 2012,5,Thursday,False
2012-01-06,2012,2012Q1,1,January,Jan 2012,6,Friday,False
2012-01-07,2012,2012Q1,1,January,Jan 2012,7,Saturday,True
2012-01-08,2012,2012Q1,1,January,Jan 2012,8,Sunday,True
2012-01-09,2012,2012Q1,1,January,Jan 2012,9,Monday,False
2012-01-10,2012,2012Q1,1,January,Jan 2012,10,Tuesday,False
2012-01-11,2012,2012Q1,1,January,Jan 2012,11,Wednesday,False
2012-01-12,2012,2012Q1,1,January,Jan 2012,12,Thursday,False
2012-01-13,2012,2012Q1,1,January,Jan 2012,13,Friday,False
2012-01-14,2012,2012Q1,1,January,Jan 2012,14,Saturday,True
2012-01-15,2012,2012Q1,1,January,Jan 2012,15,Sunday,True
